BHID,FROM,TO,LITO
DH0001,0.0,1.08,LAT
DH0001,1.08,2.75,SAP
DH0001,2.75,3.91,SAP
DH0001,3.91,5.77,LAT
DH0001,5.77,7.24,LAT
DH0001,7.24,8.42,LAT
DH0001,8.42,9.56,SAP
DH0001,9.56,11.4,SAP
DH0001,11.4,13.08,SAP
DH0001,13.08,14.72,SAP
DH0001,14.72,15.75,SAP
DH0001,15.75,17.66,SAP
DH0001,17.66,19.12,LAT
DH0001,19.12,20.16,LAT
DH0001,20.16,21.45,LAT
DH0001,21.45,22.57,LAT
DH0001,22.57,23.58,SAP
DH0001,23.58,24.63,LAT
DH0001,24.63,26.52,SAP
DH0001,26.52,28.52,LAT
DH0001,28.52,29.61,LAT
DH0001,29.61,31.04,LAT
DH0001,31.04,32.65,SAP
DH0001,32.65,34.04,SAP
DH0001,34.04,35.78,SAP
DH0001,35.78,36.82,SAP
DH0001,36.82,38.44,SAP
DH0001,38.44,40.01,LAT
DH0001,40.01,41.09,FRS
DH0001,41.09,42.59,FRS
DH0001,42.59,44.01,LAT
DH0001,44.01,45.96,FRS
DH0001,45.96,47.65,LAT
DH0001,47.65,49.4,LAT
DH0001,49.4,51.07,FRS
DH0001,51.07,52.94,FRS
DH0001,52.94,54.09,LAT
DH0001,54.09,55.21,LAT
DH0001,55.21,57.06,FRS
DH0001,57.06,58.84,LAT
DH0001,58.84,60.76,LAT
DH0001,60.76,62.45,LAT
DH0001,62.45,64.34,LAT
DH0001,64.34,65.41,LAT
DH0001,65.41,66.78,LAT
DH0001,66.78,67.8,LAT
DH0001,67.8,68.83,LAT
DH0001,68.83,70.72,FRS
DH0001,70.72,72.06,LAT
DH0001,72.06,73.5,LAT
DH0001,73.5,75.47,LAT
DH0001,75.47,76.96,LAT
DH0001,76.96,78.53,FRS
DH0001,78.53,80.07,LAT
DH0001,80.07,81.6,FRS
DH0001,81.6,82.88,FRS
DH0001,82.88,84.36,FRS
DH0001,84.36,86.13,LAT
DH0001,86.13,87.99,FRS
DH0001,87.99,89.95,LAT
DH0001,89.95,91.79,FRS
DH0001,91.79,92.81,LAT
DH0001,92.81,93.95,FRS
DH0001,93.95,95.91,FRS
DH0001,95.91,96.92,DUN
DH0001,96.92,98.69,FRS
DH0001,98.69,100.3,FRS
DH0001,100.3,101.37,FRS
DH0001,101.37,103.32,FRS
DH0001,103.32,104.82,DUN
DH0001,104.82,105.89,FRS
DH0001,105.89,107.82,FRS
DH0001,107.82,109.3,FRS
DH0001,109.3,110.94,FRS
DH0001,110.94,112.39,FRS
DH0001,112.39,114.11,DUN
DH0001,114.11,115.63,FRS
DH0001,115.63,116.76,FRS
DH0001,116.76,118.04,DUN
DH0001,118.04,119.31,DUN
DH0001,119.31,121.2,FRS
DH0001,121.2,122.59,FRS
DH0001,122.59,124.25,DUN
DH0001,124.25,125.9,FRS
DH0001,125.9,127.4,FRS
DH0001,127.4,128.45,DUN
DH0001,128.45,130.3,FRS
DH0001,130.3,131.98,FRS
DH0001,131.98,133.63,DUN
DH0001,133.63,134.83,DUN
DH0001,134.83,135.89,FRS
DH0001,135.89,136.91,FRS
DH0001,136.91,138.31,FRS
DH0001,138.31,139.83,FRS
DH0001,139.83,141.6,FRS
DH0001,141.6,143.12,FRS
DH0001,143.12,145.09,DUN
DH0001,145.09,146.4,FRS
DH0001,146.4,147.88,DUN
DH0001,147.88,148.96,FRS
DH0001,148.96,150.1,DUN
DH0001,150.1,151.73,DUN
DH0001,151.73,153.08,PER
DH0001,153.08,154.14,DUN
DH0001,154.14,156.1,DUN
DH0001,156.1,157.37,PER
DH0001,157.37,158.81,DUN
DH0001,158.81,160.05,PER
DH0001,160.05,161.31,DUN
DH0001,161.31,162.5,DUN
DH0001,162.5,164.48,DUN
DH0001,164.48,166.12,DUN
DH0001,166.12,167.89,DUN
DH0001,167.89,169.11,DUN
DH0001,169.11,170.21,DUN
DH0001,170.21,171.49,DUN
DH0001,171.49,173.25,PER
DH0001,173.25,174.5,DUN
DH0001,174.5,175.74,DUN
DH0001,175.74,177.02,PER
DH0001,177.02,178.6,DUN
DH0001,178.6,180.55,PER
DH0001,180.55,182.03,DUN
DH0001,182.03,183.88,DUN
DH0001,183.88,185.03,PER
DH0002,0.0,1.65,SAP
DH0002,1.65,3.08,SAP
DH0002,3.08,4.38,SAP
DH0002,4.38,6.23,SAP
DH0002,6.23,8.05,SAP
DH0002,8.05,9.59,LAT
DH0002,9.59,11.55,SAP
DH0002,11.55,12.65,SAP
DH0002,12.65,14.48,SAP
DH0002,14.48,16.34,SAP
DH0002,16.34,17.67,LAT
DH0002,17.67,19.17,SAP
DH0002,19.17,20.55,SAP
DH0002,20.55,22.37,SAP
DH0002,22.37,24.09,LAT
DH0002,24.09,25.95,LAT
DH0002,25.95,27.63,FRS
DH0002,27.63,29.53,LAT
DH0002,29.53,30.82,LAT
DH0002,30.82,31.89,FRS
DH0002,31.89,33.57,LAT
DH0002,33.57,35.21,LAT
DH0002,35.21,36.48,LAT
DH0002,36.48,38.19,LAT
DH0002,38.19,39.39,LAT
DH0002,39.39,40.47,LAT
DH0002,40.47,42.07,FRS
DH0002,42.07,43.78,FRS
DH0002,43.78,45.38,FRS
DH0002,45.38,47.08,FRS
DH0002,47.08,48.66,LAT
DH0002,48.66,50.33,FRS
DH0002,50.33,52.08,FRS
DH0002,52.08,53.09,LAT
DH0002,53.09,54.8,LAT
DH0002,54.8,56.05,LAT
DH0002,56.05,57.72,LAT
DH0002,57.72,59.34,DUN
DH0002,59.34,60.41,FRS
DH0002,60.41,61.78,DUN
DH0002,61.78,63.23,FRS
DH0002,63.23,64.88,DUN
DH0002,64.88,65.9,FRS
DH0002,65.9,67.01,DUN
DH0002,67.01,68.27,FRS
DH0002,68.27,69.95,FRS
DH0002,69.95,71.2,FRS
DH0002,71.2,72.99,FRS
DH0002,72.99,74.5,DUN
DH0002,74.5,76.36,FRS
DH0002,76.36,78.11,FRS
DH0002,78.11,79.8,FRS
DH0002,79.8,80.96,FRS
DH0002,80.96,82.18,FRS
DH0002,82.18,83.24,FRS
DH0002,83.24,84.8,FRS
DH0002,84.8,86.49,DUN
DH0002,86.49,88.13,FRS
DH0002,88.13,89.24,FRS
DH0002,89.24,91.14,FRS
DH0002,91.14,92.16,DUN
DH0002,92.16,93.85,DUN
DH0002,93.85,95.67,PER
DH0002,95.67,96.85,PER
