BHID,FROM,TO,TARGET,NI,SI,MG
DH0001,0.0,1.08,South_Zone,3.126,45.06,10.8
DH0001,1.08,2.75,South_Zone,1.764,40.5,15.94
DH0001,2.75,3.91,South_Zone,3.234,43.79,8.78
DH0001,3.91,5.77,South_Zone,3.216,34.93,13.42
DH0001,5.77,7.24,South_Zone,2.391,22.6,8.5
DH0001,7.24,8.42,South_Zone,3.691,42.61,8.9
DH0001,8.42,9.56,South_Zone,2.411,52.06,5.93
DH0001,9.56,11.4,South_Zone,2.795,34.77,13.3
DH0001,11.4,13.08,South_Zone,1.478,46.19,9.96
DH0001,13.08,14.72,South_Zone,2.422,34.0,9.29
DH0001,14.72,15.75,South_Zone,2.379,47.34,7.15
DH0001,15.75,17.66,South_Zone,2.467,40.94,8.1
DH0001,17.66,19.12,South_Zone,2.804,44.37,9.44
DH0001,19.12,20.16,South_Zone,1.369,52.09,8.69
DH0001,20.16,21.45,South_Zone,3.566,39.73,11.98
DH0001,21.45,22.57,South_Zone,2.036,42.77,8.95
DH0001,22.57,23.58,South_Zone,0.515,48.23,16.2
DH0001,23.58,24.63,South_Zone,1.463,54.5,15.13
DH0001,24.63,26.52,South_Zone,2.387,36.81,12.33
DH0001,26.52,28.52,South_Zone,1.939,35.73,10.72
DH0001,28.52,29.61,South_Zone,3.284,71.88,4.57
DH0001,29.61,31.04,South_Zone,1.674,43.63,12.86
DH0001,31.04,32.65,South_Zone,0.988,48.26,8.14
DH0001,32.65,34.04,South_Zone,1.824,42.99,14.21
DH0001,34.04,35.78,South_Zone,1.716,40.53,10.24
DH0001,35.78,36.82,South_Zone,0.034,30.75,11.67
DH0001,36.82,38.44,South_Zone,1.636,42.05,16.34
DH0001,38.44,40.01,South_Zone,1.807,43.4,12.01
DH0001,40.01,41.09,South_Zone,1.04,43.22,23.38
DH0001,41.09,42.59,South_Zone,1.211,43.75,10.43
DH0001,42.59,44.01,South_Zone,3.426,60.31,12.76
DH0001,44.01,45.96,South_Zone,0.929,48.87,14.93
DH0001,45.96,47.65,South_Zone,0.01,37.81,9.37
DH0001,47.65,49.4,South_Zone,1.315,50.12,9.5
DH0001,49.4,51.07,South_Zone,1.788,37.6,19.03
DH0001,51.07,52.94,South_Zone,1.579,48.35,14.28
